越秀区,农林街,越秀区农林街社区卫生服务中心,广州市越秀区中山三路东皋大道6号三楼,83838572
越秀区,建设街,越秀区建设街社区卫生服务中心,广州市越秀区建设二马路14号,83767047
越秀区,矿泉街,越秀区矿泉街社区卫生服务中心,广州市越秀区广园西路346号首层,86563347
越秀区,大塘街,越秀区大塘街社区卫生服务中心,广州市越秀区德政中路拾桂坊16号,83864413
越秀区,梅花村街,越秀区梅花村街社区卫生服务中心,广州市东风东路水均大街72号,87775926
越秀区,黄花岗街,越秀区黄花岗街社区卫生服务中心,广州市越秀区先烈中路永泰西约6号之三,37589183
越秀区,登峰街,越秀区登峰街社区卫生服务中心,广州市越秀区恒福路60号，广园东路1815号，麓景东路23号,83593481
越秀区,白云街,越秀区白云街社区卫生服务中心,广州市越秀区白云路62号、东华南路159号,62728863
天河区,林和街,林和街社区卫生服务中心,广州市天河区天河北路382号,38810252
天河区,棠下街,棠下街社区卫生服务中心,广州市天河区中山大道棠下新桥路3号,85625185
天河区,棠下街,棠下街第二社区卫生服务中心,广州市天河区中山大道西枫叶路天乐径2号之一（历德雅舍花园内）,38471682
天河区,棠下街,棠下街华景社区卫生服务站,广州市天河区中山大道西183号,62784890
天河区,棠下街,棠下街棠东社区卫生服务站,广州市天河区棠东村新庙前街12号,85551507
天河区,天园街,天园街社区卫生服务中心,广州市天河区中山大道骏景路和风街3号（骏景花园内）,38283046
天河区,天园街,天园街东晖社区卫生服务站,广州市天河区天府路东晖花园西街1号首层,85611768
天河区,冼村街,冼村街社区卫生服务中心,广州市天河区兴盛路10号一、三层,38876202
天河区,冼村街,冼村街杨箕东社区卫生服务站,广州市天河区华穗路386号二楼,38339250
天河区,沙东街,沙东街社区卫生服务中心,广州大道北619号,87709476
天河区,前进街,前进街社区卫生服务中心,广州市天河区桃园中路278号（广州市第十八中学旁）,32051519
天河区,车陂街,车陂街社区卫生服务中心,广州市天河区旭景西街194号,82312192
天河区,车陂街,车陂街广氮社区卫生服务中心,广州市天河区车陂街车陂北街22-1（广氮新村内）,82312910
天河区,员村街,员村街社区卫生服务中心,广州市天河区员村二横路26号,85657508
天河区,员村街,员村街华颖社区卫生服务站,广州市天河区员村一横路七号大院53栋,38697165
天河区,五山街,五山街华工社区卫生服务中心,广州市天河区五山街华南理工大学内,87110936
天河区,五山街,五山街华农社区卫生服务中心,广州市天河区五山街华南农业大学内,85280348
天河区,五山街,五山街东莞庄社区卫生服务站,广州市天河区东莞庄路112号,87237131
天河区,五山街,五山街岳洲社区卫生服务中心,广州市天河区五山街岳洲路39号华农综合楼3楼,85285011
天河区,石牌街,石牌街社区卫生服务中心,广州市天河区天河北路571号（石牌街芳草园小区内）,38129619
天河区,石牌街,石牌街华师社区卫生服务中心,广州市天河区石牌华南师范大学内,85211185
天河区,石牌街,石牌街暨大社区卫生服务中心,广州市天河区暨南大学校内,85220940
天河区,石牌街,石牌街南大社区卫生服务站,广州市天河区石牌东二街48号二楼,87577320
天河区,龙洞街,龙洞街社区卫生服务中心,广州市天河区龙洞直街69号,28854045
天河区,元岗街,元岗街社区卫生服务中心,广州市天河区元岗路538号,37091557
天河区,凤凰街,凤凰街社区卫生服务中心,广州市天河区凤凰街广汕二路7号之1,13560242029
天河区,凤凰街,凤凰街柯木朗社区卫生服务站,广州市天河区凤凰街华美路商业城3号,87065552
天河区,凤凰街,凤凰街渔沙坦社区卫生服务站,广州市天河区凤凰街渔沙坦渔兴路39号,87218629
天河区,兴华街,兴华街社区卫生服务中心,广州市天河区燕岭路268号,61627306
天河区,兴华街,兴华街燕塘社区卫生服务站,广州市天河区燕兴路66-102号,61372102
天河区,黄村街,黄村街社区卫生服务中心,广州市天河区黄村大道西华里2号,82308850
天河区,新塘街,新塘街社区卫生服务中心,广州市天河区新塘街西约大路3号,82340286
